ID,date_of_donation,donor_link,donation_huf,donor_gender,publishing_name,donation_type
1924,2019. július 24. 11:49,https://elmenykulonitmeny.hu/jotekony-sportolo/peter-zsofia/,NA,NA,anonymous,none_of_them
1925,2019. szeptember 25. 10:12,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,NA,male,gave_name,only_name
1926,2019. szeptember 25. 09:27,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,1000,female,gave_name,both_of_them
1927,2019. szeptember 21. 11:56,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,NA,female,gave_name,only_name
1928,2019. szeptember 20. 21:02,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,10000,male,gave_name,both_of_them
1929,2019. szeptember 12. 19:06,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,5000,female,gave_name,both_of_them
1930,2019. szeptember 07. 19:10,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,5000,NA,anonymous,only_money
1931,2019. szeptember 07. 11:15,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,NA,male,gave_name,only_name
1932,2019. szeptember 07. 10:00,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,4189,male,gave_name,both_of_them
1933,2019. szeptember 06. 20:17,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,NA,NA,anonymous,none_of_them
1934,2019. augusztus 26. 15:50,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,NA,NA,anonymous,none_of_them
1935,2019. augusztus 19. 13:07,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,NA,female,gave_name,only_name
1936,2019. augusztus 14. 11:50,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,7000,male,gave_name,both_of_them
1937,2019. augusztus 07. 15:02,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,NA,female,gave_name,only_name
1938,2019. július 28. 13:40,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,NA,female,gave_name,only_name
1939,2019. július 12. 14:26,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,NA,male,gave_name,only_name
1940,2019. július 12. 11:25,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,NA,female,gave_name,only_name
1941,2019. július 10. 19:13,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,NA,male,gave_name,only_name
1942,2019. július 10. 15:58,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,NA,female,gave_name,only_name
1943,2019. július 10. 15:58,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,NA,female,gave_name,only_name
1944,2019. július 10. 09:57,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,NA,NA,anonymous,none_of_them
1945,2019. július 10. 09:13,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,NA,female,gave_name,only_name
1946,2019. július 10. 08:19,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,NA,male,gave_name,only_name
1947,2019. július 09. 11:04,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,4000,female,gave_name,both_of_them
1948,2019. július 08. 20:28,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,3000,male,gave_name,both_of_them
1949,2019. július 08. 11:36,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,NA,NA,anonymous,none_of_them
1950,2019. július 05. 22:09,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,5000,female,gave_name,both_of_them
1951,2019. július 05. 15:36,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,NA,NA,anonymous,none_of_them
1952,2019. július 05. 12:58,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,NA,NA,anonymous,none_of_them
1953,2019. július 04. 22:28,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,NA,NA,anonymous,none_of_them
1954,2019. július 04. 22:08,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,NA,NA,anonymous,none_of_them
1955,2019. július 04. 21:53,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,2000,female,gave_name,both_of_them
1956,2019. július 04. 21:47,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,NA,male,gave_name,only_name
1957,2019. július 04. 21:22,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,NA,NA,anonymous,none_of_them
1958,2019. július 04. 20:14,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,10000,male,gave_name,both_of_them
1959,2019. július 04. 16:42,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,5000,male,gave_name,both_of_them
1960,2019. július 04. 15:24,https://elmenykulonitmeny.hu/jotekony-sportolo/giczei-zsolt-norbert/,NA,NA,anonymous,none_of_them
1961,2019. szeptember 26. 09:45,https://elmenykulonitmeny.hu/jotekony-sportolo/bodo-toth-timea/,NA,NA,anonymous,none_of_them
1962,2019. szeptember 11. 09:06,https://elmenykulonitmeny.hu/jotekony-sportolo/bodo-toth-timea/,2000,female,gave_name,both_of_them
1963,2019. szeptember 05. 22:15,https://elmenykulonitmeny.hu/jotekony-sportolo/bodo-toth-timea/,4000,male,gave_name,both_of_them
1964,2019. szeptember 02. 18:42,https://elmenykulonitmeny.hu/jotekony-sportolo/bodo-toth-timea/,NA,male,gave_name,only_name
1965,2019. augusztus 22. 22:39,https://elmenykulonitmeny.hu/jotekony-sportolo/bodo-toth-timea/,2000,male,gave_name,both_of_them
1966,2019. július 09. 17:14,https://elmenykulonitmeny.hu/jotekony-sportolo/bodo-toth-timea/,1500,male,gave_name,both_of_them
1967,2019. október 02. 11:14,https://elmenykulonitmeny.hu/jotekony-sportolo/spencer-collins/,5000,female,gave_name,both_of_them
1968,2019. augusztus 07. 12:07,https://elmenykulonitmeny.hu/jotekony-sportolo/spencer-collins/,36000,female,gave_name,both_of_them
1969,2019. augusztus 01. 11:43,https://elmenykulonitmeny.hu/jotekony-sportolo/spencer-collins/,50000,group,gave_name,both_of_them
1970,2019. július 30. 14:01,https://elmenykulonitmeny.hu/jotekony-sportolo/spencer-collins/,NA,NA,anonymous,none_of_them
1971,2019. július 30. 13:52,https://elmenykulonitmeny.hu/jotekony-sportolo/spencer-collins/,NA,NA,anonymous,none_of_them
1972,2019. július 16. 21:56,https://elmenykulonitmeny.hu/jotekony-sportolo/spencer-collins/,NA,NA,anonymous,none_of_them
1973,2019. július 16. 17:06,https://elmenykulonitmeny.hu/jotekony-sportolo/spencer-collins/,13000,male,gave_name,both_of_them
1974,2019. július 16. 12:24,https://elmenykulonitmeny.hu/jotekony-sportolo/spencer-collins/,NA,female,gave_name,only_name
1975,2019. július 15. 09:03,https://elmenykulonitmeny.hu/jotekony-sportolo/spencer-collins/,NA,NA,anonymous,none_of_them
1976,2019. július 10. 19:13,https://elmenykulonitmeny.hu/jotekony-sportolo/spencer-collins/,NA,NA,anonymous,none_of_them
1977,2019. július 09. 22:29,https://elmenykulonitmeny.hu/jotekony-sportolo/spencer-collins/,NA,female,gave_name,only_name
1978,2019. július 09. 17:23,https://elmenykulonitmeny.hu/jotekony-sportolo/spencer-collins/,NA,NA,anonymous,none_of_them
1979,2019. június 29. 10:21,https://elmenykulonitmeny.hu/jotekony-sportolo/spencer-collins/,5000,NA,anonymous,only_money
1980,2019. augusztus 09. 11:17,https://elmenykulonitmeny.hu/jotekony-sportolo/ladanyi-anna/,1000,female,gave_name,both_of_them
1981,2019. július 25. 14:09,https://elmenykulonitmeny.hu/jotekony-sportolo/ladanyi-anna/,1000,NA,anonymous,only_money
1982,2019. július 19. 18:11,https://elmenykulonitmeny.hu/jotekony-sportolo/ladanyi-anna/,1000,female,gave_name,both_of_them
1983,2019. július 11. 12:36,https://elmenykulonitmeny.hu/jotekony-sportolo/ladanyi-anna/,NA,male,gave_name,only_name
1984,2019. július 11. 12:10,https://elmenykulonitmeny.hu/jotekony-sportolo/ladanyi-anna/,541,NA,anonymous,only_money
1985,2019. július 11. 10:44,https://elmenykulonitmeny.hu/jotekony-sportolo/ladanyi-anna/,10000,NA,anonymous,only_money
1986,2019. július 09. 16:18,https://elmenykulonitmeny.hu/jotekony-sportolo/ladanyi-anna/,NA,NA,anonymous,none_of_them
1987,2019. július 08. 20:28,https://elmenykulonitmeny.hu/jotekony-sportolo/ladanyi-anna/,NA,NA,anonymous,none_of_them
1989,2019. július 03. 15:36,https://elmenykulonitmeny.hu/jotekony-sportolo/ladanyi-anna/,NA,female,gave_name,only_name
1990,2019. július 03. 15:36,https://elmenykulonitmeny.hu/jotekony-sportolo/ladanyi-anna/,NA,female,gave_name,only_name
1991,2019. július 03. 14:23,https://elmenykulonitmeny.hu/jotekony-sportolo/ladanyi-anna/,5000,female,gave_name,both_of_them
1992,2019. július 03. 08:31,https://elmenykulonitmeny.hu/jotekony-sportolo/ladanyi-anna/,1000,female,gave_name,both_of_them
1993,2019. július 01. 15:15,https://elmenykulonitmeny.hu/jotekony-sportolo/ladanyi-anna/,1000,female,gave_name,both_of_them
1994,2019. július 01. 15:07,https://elmenykulonitmeny.hu/jotekony-sportolo/ladanyi-anna/,NA,female,gave_name,only_name
1995,2019. július 01. 14:18,https://elmenykulonitmeny.hu/jotekony-sportolo/ladanyi-anna/,1000,female,gave_name,both_of_them
1996,2019. október 06. 14:37,https://elmenykulonitmeny.hu/jotekony-sportolo/csomai-virag/,NA,NA,anonymous,none_of_them
1997,2019. szeptember 29. 15:55,https://elmenykulonitmeny.hu/jotekony-sportolo/csomai-virag/,16000,female,gave_name,both_of_them
1998,2019. szeptember 28. 21:54,https://elmenykulonitmeny.hu/jotekony-sportolo/csomai-virag/,NA,NA,anonymous,none_of_them
1999,2019. szeptember 22. 13:57,https://elmenykulonitmeny.hu/jotekony-sportolo/csomai-virag/,NA,NA,anonymous,none_of_them
2000,2019. szeptember 15. 22:12,https://elmenykulonitmeny.hu/jotekony-sportolo/csomai-virag/,NA,NA,anonymous,none_of_them
2001,2019. szeptember 12. 22:39,https://elmenykulonitmeny.hu/jotekony-sportolo/csomai-virag/,NA,NA,anonymous,none_of_them
2002,2019. szeptember 10. 21:36,https://elmenykulonitmeny.hu/jotekony-sportolo/csomai-virag/,NA,NA,anonymous,none_of_them
2003,2019. szeptember 01. 21:11,https://elmenykulonitmeny.hu/jotekony-sportolo/csomai-virag/,NA,NA,anonymous,none_of_them
2004,2019. augusztus 26. 09:02,https://elmenykulonitmeny.hu/jotekony-sportolo/csomai-virag/,NA,NA,anonymous,none_of_them
2005,2019. augusztus 26. 09:02,https://elmenykulonitmeny.hu/jotekony-sportolo/csomai-virag/,NA,male,gave_name,only_name
2006,2019. augusztus 25. 16:48,https://elmenykulonitmeny.hu/jotekony-sportolo/csomai-virag/,NA,female,gave_name,only_name
2007,2019. augusztus 23. 16:58,https://elmenykulonitmeny.hu/jotekony-sportolo/csomai-virag/,NA,NA,anonymous,none_of_them
2008,2019. augusztus 23. 13:02,https://elmenykulonitmeny.hu/jotekony-sportolo/csomai-virag/,NA,NA,anonymous,none_of_them
2009,2019. július 08. 21:37,https://elmenykulonitmeny.hu/jotekony-sportolo/csomai-virag/,NA,NA,anonymous,none_of_them
2010,2019. június 07. 22:33,https://elmenykulonitmeny.hu/jotekony-sportolo/csomai-virag/,NA,NA,anonymous,none_of_them
2011,2019. szeptember 27. 18:51,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,3000,NA,gave_name,both_of_them
2012,2019. szeptember 26. 12:53,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,NA,NA,gave_name,only_name
2013,2019. szeptember 17. 15:23,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,NA,female,gave_name,only_name
2014,2019. szeptember 17. 10:56,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,29050,NA,gave_name,both_of_them
2015,2019. szeptember 15. 20:41,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,NA,NA,anonymous,none_of_them
2016,2019. szeptember 09. 10:38,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,3000,female,gave_name,both_of_them
2017,2019. szeptember 07. 17:07,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,NA,female,gave_name,only_name
2018,2019. szeptember 05. 12:45,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,5000,female,gave_name,both_of_them
2019,2019. szeptember 05. 12:45,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,5000,male,gave_name,both_of_them
2020,2019. szeptember 02. 19:37,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,NA,male,gave_name,only_name
2021,2019. szeptember 01. 17:01,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,NA,NA,anonymous,none_of_them
2022,2019. augusztus 22. 11:52,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,NA,female,gave_name,only_name
2023,2019. augusztus 15. 08:52,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,5000,male,gave_name,both_of_them
2024,2019. augusztus 13. 11:21,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,24000,NA,anonymous,only_money
2025,2019. június 19. 11:11,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,NA,female,gave_name,only_name
2026,2019. június 14. 09:51,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,1000,female,gave_name,both_of_them
2027,2019. június 13. 20:50,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,5000,female,gave_name,both_of_them
2028,2019. június 11. 13:40,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,2000,NA,anonymous,only_money
2029,2019. június 06. 15:14,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,NA,male,gave_name,only_name
2030,2019. június 06. 15:11,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,NA,NA,anonymous,none_of_them
2031,2019. június 04. 13:30,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,5000,male,gave_name,both_of_them
2032,2019. június 03. 14:36,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,NA,NA,anonymous,none_of_them
2033,2019. június 03. 11:33,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,NA,NA,anonymous,none_of_them
2034,2019. május 31. 15:43,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,NA,NA,anonymous,none_of_them
2035,2019. május 30. 13:30,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,NA,NA,anonymous,none_of_them
2037,2019. május 30. 13:09,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,NA,NA,anonymous,none_of_them
2038,2019. május 29. 14:11,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,1000,female,gave_name,both_of_them
2039,2019. május 29. 08:06,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,NA,NA,anonymous,none_of_them
2040,2019. május 27. 19:38,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,3000,male,gave_name,both_of_them
2041,2019. május 27. 19:38,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,NA,NA,anonymous,none_of_them
2042,2019. május 25. 06:07,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,1000,female,gave_name,both_of_them
2043,2019. május 24. 21:54,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,NA,NA,anonymous,none_of_them
2044,2019. május 24. 20:55,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,NA,NA,anonymous,none_of_them
2045,2019. május 24. 19:01,https://elmenykulonitmeny.hu/jotekony-sportolo/kosztenko-darja/,1000,female,gave_name,both_of_them
2046,2020. március 12. 13:36,https://elmenykulonitmeny.hu/jotekony-sportolo/szauter-krisztina/,NA,female,gave_name,only_name
2047,2020. február 25. 14:16,https://elmenykulonitmeny.hu/jotekony-sportolo/szauter-krisztina/,5000,female,gave_name,both_of_them
2048,2020. február 21. 15:43,https://elmenykulonitmeny.hu/jotekony-sportolo/szauter-krisztina/,NA,NA,anonymous,none_of_them
2049,2020. február 20. 15:40,https://elmenykulonitmeny.hu/jotekony-sportolo/szauter-krisztina/,NA,male,gave_name,only_name
2050,2020. február 07. 20:26,https://elmenykulonitmeny.hu/jotekony-sportolo/szauter-krisztina/,NA,NA,anonymous,none_of_them
2051,2019. augusztus 12. 11:05,https://elmenykulonitmeny.hu/jotekony-sportolo/szauter-krisztina/,NA,male,gave_name,only_name
2052,2019. július 13. 17:04,https://elmenykulonitmeny.hu/jotekony-sportolo/szauter-krisztina/,NA,female,gave_name,only_name
2053,2019. június 26. 13:03,https://elmenykulonitmeny.hu/jotekony-sportolo/szauter-krisztina/,5000,NA,gave_name,both_of_them
2054,2019. június 25. 18:43,https://elmenykulonitmeny.hu/jotekony-sportolo/szauter-krisztina/,NA,female,gave_name,only_name
2055,2019. június 19. 16:16,https://elmenykulonitmeny.hu/jotekony-sportolo/szauter-krisztina/,3630,NA,gave_name,both_of_them
2056,2019. június 19. 10:11,https://elmenykulonitmeny.hu/jotekony-sportolo/szauter-krisztina/,NA,NA,gave_name,only_name
2057,2019. június 13. 14:48,https://elmenykulonitmeny.hu/jotekony-sportolo/szauter-krisztina/,3630,NA,gave_name,both_of_them
2058,2019. június 13. 14:45,https://elmenykulonitmeny.hu/jotekony-sportolo/szauter-krisztina/,3000,male,gave_name,both_of_them
2059,2019. június 07. 09:03,https://elmenykulonitmeny.hu/jotekony-sportolo/szauter-krisztina/,5000,NA,gave_name,both_of_them
2060,2019. június 06. 11:54,https://elmenykulonitmeny.hu/jotekony-sportolo/szauter-krisztina/,3630,NA,gave_name,both_of_them
2061,2019. június 06. 11:32,https://elmenykulonitmeny.hu/jotekony-sportolo/szauter-krisztina/,3630,female,gave_name,both_of_them
2062,2019. június 04. 13:50,https://elmenykulonitmeny.hu/jotekony-sportolo/szauter-krisztina/,5000,female,gave_name,both_of_them
2063,2019. május 28. 09:28,https://elmenykulonitmeny.hu/jotekony-sportolo/szauter-krisztina/,2000,male,gave_name,both_of_them
2064,2019. május 20. 19:00,https://elmenykulonitmeny.hu/jotekony-sportolo/szauter-krisztina/,5000,female,gave_name,both_of_them
2065,2019. május 16. 21:16,https://elmenykulonitmeny.hu/jotekony-sportolo/szauter-krisztina/,10000,male,gave_name,both_of_them
2066,2019. május 08. 13:41,https://elmenykulonitmeny.hu/jotekony-sportolo/szauter-krisztina/,NA,NA,anonymous,none_of_them
2067,2019. május 06. 18:37,https://elmenykulonitmeny.hu/jotekony-sportolo/szauter-krisztina/,NA,female,gave_name,only_name
2068,2019. május 04. 08:18,https://elmenykulonitmeny.hu/jotekony-sportolo/szauter-krisztina/,NA,male,gave_name,only_name
2069,2019. május 03. 17:06,https://elmenykulonitmeny.hu/jotekony-sportolo/szauter-krisztina/,8000,NA,gave_name,both_of_them
2070,2019. szeptember 25. 09:27,https://elmenykulonitmeny.hu/jotekony-sportolo/dravecz-adam/,NA,female,gave_name,only_name
2071,2019. szeptember 24. 10:24,https://elmenykulonitmeny.hu/jotekony-sportolo/dravecz-adam/,NA,NA,anonymous,none_of_them
2072,2019. szeptember 23. 20:19,https://elmenykulonitmeny.hu/jotekony-sportolo/dravecz-adam/,NA,female,gave_name,only_name
2073,2019. szeptember 23. 19:50,https://elmenykulonitmeny.hu/jotekony-sportolo/dravecz-adam/,6000,male,gave_name,both_of_them
2074,2019. szeptember 20. 21:11,https://elmenykulonitmeny.hu/jotekony-sportolo/dravecz-adam/,10000,female,gave_name,both_of_them
2075,2019. szeptember 02. 12:01,https://elmenykulonitmeny.hu/jotekony-sportolo/dravecz-adam/,5000,male,gave_name,both_of_them
2076,2019. augusztus 25. 07:11,https://elmenykulonitmeny.hu/jotekony-sportolo/dravecz-adam/,2000,female,gave_name,both_of_them
2077,2019. július 09. 11:28,https://elmenykulonitmeny.hu/jotekony-sportolo/dravecz-adam/,3000,female,gave_name,both_of_them
2078,2019. július 08. 20:30,https://elmenykulonitmeny.hu/jotekony-sportolo/dravecz-adam/,NA,NA,anonymous,none_of_them
2079,2019. június 28. 14:40,https://elmenykulonitmeny.hu/jotekony-sportolo/dravecz-adam/,NA,NA,anonymous,none_of_them
2080,2019. június 07. 09:23,https://elmenykulonitmeny.hu/jotekony-sportolo/dravecz-adam/,NA,male,gave_name,only_name
2081,2019. június 04. 13:30,https://elmenykulonitmeny.hu/jotekony-sportolo/dravecz-adam/,NA,female,gave_name,only_name
2082,2019. június 03. 13:34,https://elmenykulonitmeny.hu/jotekony-sportolo/dravecz-adam/,NA,female,gave_name,only_name
2083,2019. június 03. 12:03,https://elmenykulonitmeny.hu/jotekony-sportolo/dravecz-adam/,NA,NA,anonymous,none_of_them
2084,2019. szeptember 12. 16:49,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,NA,NA,anonymous,none_of_them
2085,2019. szeptember 10. 09:29,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,NA,NA,anonymous,none_of_them
2086,2019. szeptember 10. 07:57,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,6000,female,gave_name,both_of_them
2087,2019. szeptember 09. 22:03,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,NA,male,gave_name,only_name
2088,2019. szeptember 09. 15:04,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,NA,male,gave_name,only_name
2089,2019. szeptember 09. 13:18,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,NA,male,gave_name,only_name
2090,2019. szeptember 09. 11:45,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,NA,female,gave_name,only_name
2091,2019. szeptember 09. 11:35,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,NA,NA,anonymous,none_of_them
2092,2019. szeptember 09. 10:37,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,NA,female,gave_name,only_name
2093,2019. szeptember 09. 10:11,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,NA,NA,anonymous,none_of_them
2094,2019. szeptember 09. 10:07,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,NA,female,gave_name,only_name
2095,2019. szeptember 09. 09:44,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,NA,male,gave_name,only_name
2096,2019. szeptember 09. 09:40,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,NA,female,gave_name,only_name
2097,2019. szeptember 09. 09:18,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,NA,female,gave_name,only_name
2098,2019. szeptember 08. 17:52,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,NA,male,gave_name,only_name
2099,2019. szeptember 08. 09:35,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,10000,female,gave_name,both_of_them
2100,2019. szeptember 04. 20:34,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,15000,male,gave_name,both_of_them
2101,2019. szeptember 04. 19:48,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,5000,male,gave_name,both_of_them
2102,2019. szeptember 04. 17:45,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,10000,male,gave_name,both_of_them
2103,2019. augusztus 28. 18:31,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,2000,female,gave_name,both_of_them
2104,2019. augusztus 26. 23:04,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,NA,NA,anonymous,none_of_them
2105,2019. július 31. 08:27,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,NA,male,gave_name,only_name
2106,2019. július 04. 20:57,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,3000,male,gave_name,both_of_them
2107,2019. június 03. 14:36,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,NA,NA,anonymous,none_of_them
2108,2019. június 02. 22:54,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,NA,male,gave_name,only_name
2109,2019. május 22. 14:25,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,3000,female,gave_name,both_of_them
2110,2019. május 17. 18:15,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,2000,female,gave_name,both_of_them
2111,2019. mĂˇjus 14. 15:00,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,5000,female,gave_name,both_of_them
2112,2019. mĂˇjus 13. 23:01,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,NA,NA,anonymous,none_of_them
2113,2019. mĂˇjus 10. 15:00,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,3000,female,gave_name,both_of_them
2114,2019. mĂˇjus 10. 09:48,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,5000,male,gave_name,both_of_them
2115,2019. mĂˇjus 10. 07:52,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,5000,NA,gave_name,both_of_them
2116,2019. mĂˇjus 09. 21:52,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,10000,female,gave_name,both_of_them
2117,2019. mĂˇjus 09. 21:43,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,1000,female,gave_name,both_of_them
2118,2019. mĂˇjus 09. 21:32,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,3000,male,gave_name,both_of_them
2119,2019. mĂˇjus 09. 20:31,https://elmenykulonitmeny.hu/jotekony-sportolo/makkai-mate/,1000,male,gave_name,both_of_them
2120,2019. május 22. 16:12,https://elmenykulonitmeny.hu/jotekony-sportolo/vag-janos/,NA,NA,anonymous,none_of_them
2121,2019. május 21. 17:22,https://elmenykulonitmeny.hu/jotekony-sportolo/vag-janos/,NA,NA,anonymous,none_of_them
